date,Mean Var
2018-03-23,15013.312910196859
2018-03-26,15466.770100738959
2018-03-27,15205.145473122306
2018-03-28,15175.057276581265
2018-03-29,15291.454490131548
2018-04-02,15067.530430328974
2018-04-03,15304.77869707183
2018-04-04,15622.531087165375
2018-04-05,15687.93230044661
2018-04-06,15319.037898670813
2018-04-09,15324.681897196027
2018-04-10,15532.404687679207
2018-04-11,15436.023212918724
2018-04-12,15547.515570049116
2018-04-13,15502.083934960983
2018-04-16,15649.831904771112
2018-04-17,15913.44883192072
2018-04-18,15920.549239861823
2018-04-19,15775.37668796517
2018-04-20,15640.256448431395
2018-04-23,15675.537719879856
2018-04-24,15480.436171271409
2018-04-25,15526.909940738047
2018-04-26,15830.217784790337
2018-04-27,15883.78470273966
2018-04-30,15834.004668699876
2018-05-01,15845.72046780978
2018-05-02,15831.406432566173
2018-05-03,15769.325461261966
2018-05-04,15997.621170163453
2018-05-07,16036.396212125479
2018-05-08,16049.947755244779
2018-05-09,16063.927285070264
2018-05-10,16212.188072732823
2018-05-11,16340.852059931207
2018-05-14,16370.21106576436
2018-05-15,16271.506979059186
2018-05-16,16396.75890067149
2018-05-17,16342.751350707218
2018-05-18,16380.328847043864
2018-05-21,16463.047319016972
2018-05-22,16388.206220014985
2018-05-23,16449.6699999239
2018-05-24,16432.90613881097
2018-05-25,16442.52832884164
2018-05-29,16274.513986445687
2018-05-30,16462.58162426578
2018-05-31,16376.438407311885
2018-06-01,16521.708884741267
2018-06-04,16723.472521261327
2018-06-05,16735.018833615017
2018-06-06,16931.90656188395
2018-06-07,16885.547178032626
2018-06-08,16969.198011879344
2018-06-11,17015.218988426728
2018-06-12,17091.165540263763
2018-06-13,17061.082326890813
2018-06-14,17184.725085677434
2018-06-15,17238.597366833652
2018-06-18,17198.191782205853
2018-06-19,17097.975259950785
2018-06-20,17161.032332022056
2018-06-21,17078.981429183223
2018-06-22,17025.684496047343
2018-06-25,16810.17719077672
2018-06-26,16867.620649301112
2018-06-27,16724.17553283819
2018-06-28,16696.612587915744
2018-06-29,16907.536022954355
2018-07-02,17002.62664714131
2018-07-03,16848.032743249423
2018-07-05,17041.797400727322
2018-07-06,17150.398237828012
2018-07-09,17304.576696160235
2018-07-10,17392.227530330078
2018-07-11,17422.05717048183
2018-07-12,17566.39752654644
2018-07-13,17636.10665970005
2018-07-16,17590.6032950854
2018-07-17,17582.85333409739
2018-07-18,17638.194740074552
2018-07-19,17615.573503697902
2018-07-20,17604.428127033265
2018-07-23,17583.97111490048
2018-07-24,17576.132901240708
2018-07-25,17770.227457254965
2018-07-26,17818.180905409507
2018-07-27,17632.06442299846
2018-07-30,17412.20411588681
2018-07-31,17460.534872952805
2018-08-01,17570.842192895245
2018-08-02,17743.935855797517
2018-08-03,17816.045629950255
2018-08-06,17886.51860314825
2018-08-07,17967.408691908517
2018-08-08,17935.461099238826
2018-08-09,17984.58289263599
2018-08-10,17910.831263178094
2018-08-13,17879.728461997085
2018-08-14,17987.123154137484
2018-08-15,17924.318575885904
2018-08-16,18063.857240704318
2018-08-17,18121.335413552657
2018-08-20,18186.968123947903
2018-08-21,18190.689693263605
2018-08-22,18176.34960833881
2018-08-23,18226.629354530072
2018-08-24,18371.45425951686
2018-08-27,18459.900446431522
2018-08-28,18501.50679112888
2018-08-29,18607.45866836091
2018-08-30,18494.19289092
